id,street,city,state,zip
1,1477 Kennedy Alley,Dayton,OH,45440
2,5 Trailsway Point,Dayton,OH,45430
3,715 Cambridge Park,Dayton,OH,45405
4,131 Nevada Drive,Dayton,OH,45390
5,47572 Shelley Lane,Dayton,OH,45459
6,51982 Arizona Trail,Dayton,OH,45432
7,6592 Macpherson Pass,Dayton,OH,45390
8,87202 Bay Drive,Dayton,OH,45419
9,1884 Mcguire Avenue,Dayton,OH,45415
10,791 Bartillon Avenue,Dayton,OH,
11,82583 Crest Line Junction,Dayton,OH,45430
12,3653 Miller Pass,Dayton,OH,45423
13,99 Nancy Court,Dayton,OH,45405
14,464 Bay Center,Dayton,OH,45417
15,5 Hayes Court,Dayton,OH,45419
16,84 Mayfield Parkway,Dayton,OH,45430
17,31 Jenna Drive,Dayton,OH,45416
18,36 Texas Drive,Dayton,OH,45431
19,55913 Scoville Terrace,Dayton,OH,45419
20,91528 New Castle Parkway,Dayton,OH,45433
21,66579 American Way,Dayton,OH,
22,287 Bluejay Crossing,Dayton,OH,45432
23,97541 Glacier Hill Court,Dayton,OH,45440
24,5 Carpenter Hill,Dayton,OH,45440
25,8 International Junction,Dayton,OH,45414
26,82 Mandrake Court,Dayton,OH,45402
27,54 Moland Hill,Dayton,OH,45432
28,9730 Ryan Terrace,Dayton,OH,45439
29,37856 Esch Drive,Dayton,OH,45409
30,6 Chinook Crossing,Dayton,OH,45417
31,14 Buell Center,Dayton,OH,45432
32,73 Pankratz Parkway,Dayton,OH,45426
33,66534 Novick Terrace,Dayton,OH,45416
34,58 Manley Circle,Dayton,OH,45419
35,92 Larry Circle,Dayton,OH,45417
36,581 Roth Junction,Dayton,OH,45409
37,8 Fieldstone Circle,Dayton,OH,45405
38,844 Arkansas Trail,Dayton,OH,45404
39,0 Transport Terrace,Dayton,OH,45402
40,0456 Barby Junction,Dayton,OH,45390
41,526 Green Alley,Dayton,OH,45416
42,7446 Buena Vista Pass,Dayton,OH,45390
43,68 Sherman Point,Dayton,OH,45479
44,20761 Utah Pass,Dayton,OH,45403
45,87 Sugar Court,Dayton,OH,45431
46,3 Dawn Way,,OH,45405
47,6 Reindahl Lane,Dayton,OH,45434
48,15852 Crowley Alley,Dayton,OH,45419
49,69492 Fisk Avenue,Dayton,OH,45405
50,5621 Browning Park,Dayton,OH,45409
51,8852 Carpenter Way,Dayton,OH,45410
52,5 Schurz Street,Dayton,OH,
53,782 Granby Trail,Dayton,OH,45432
54,651 Darwin Street,Dayton,OH,45430
55,04663 Pond Street,Dayton,OH,45433
56,7 Johnson Center,Dayton,OH,45415
57,85 Milwaukee Point,Dayton,OH,45429
58,68210 Amoth Pass,Dayton,OH,45405
59,1 Mockingbird Trail,Dayton,OH,45406
60,8 Quincy Drive,Dayton,OH,45430
61,556 New Castle Road,Dayton,OH,45417
62,6353 Forest Drive,Dayton,OH,45430
63,18 Mayer Circle,Dayton,OH,45426
64,92 Bashford Pass,Dayton,OH,45439
65,49 Schiller Circle,Dayton,OH,45434
66,0 Utah Court,Dayton,OH,45419
67,31621 Golf Course Parkway,Dayton,OH,45449
68,547 Glendale Hill,,OH,45414
69,36 Victoria Parkway,Dayton,OH,45410
70,17 Warrior Circle,Dayton,OH,45405
71,056 Katie Plaza,Dayton,OH,45440
72,6178 Starling Alley,Dayton,OH,45424
73,804 Manitowish Trail,Dayton,OH,45403
74,4595 Fairfield Way,Dayton,OH,45458
75,4 Crescent Oaks Court,Dayton,OH,45432
76,6926 Grayhawk Court,Dayton,OH,45440
77,46 Hovde Pass,Dayton,OH,45459
78,97938 Fremont Hill,Dayton,OH,45426
79,90164 Graceland Parkway,,OH,45434
80,14 Melody Crossing,Dayton,OH,45439
81,9470 Cody Alley,Dayton,OH,45434
82,1047 Aberg Street,Dayton,OH,45410
83,75750 Shoshone Hill,Dayton,OH,45458
84,81632 Tennyson Center,Dayton,OH,45433
85,7710 Lawn Crossing,Dayton,OH,45459
86,8 Oxford Pass,Dayton,OH,45414
87,52 Morning Lane,Dayton,OH,45433
88,2 Corry Drive,Dayton,,45459
89,7 Bay Park,Dayton,OH,45405
90,6927 Basil Trail,Dayton,OH,45430
91,63 Truax Avenue,Dayton,OH,45479
92,55 Ludington Pass,,OH,45406
93,9200 Northport Street,Dayton,OH,45414
94,75602 Dottie Place,Dayton,OH,45410
95,768 Sycamore Court,Dayton,OH,45409
96,1 Farwell Center,Dayton,OH,45430
97,25 Red Cloud Plaza,Dayton,OH,45406
98,2750 Kipling Place,Dayton,OH,45458
99,27343 American Plaza,Dayton,OH,45424
100,89748 Golf View Alley,Dayton,OH,45404
101,7 Arapahoe Court,Dayton,OH,45409
102,711 Farragut Hill,Dayton,OH,45423
103,4 Service Trail,Dayton,OH,45431
104,3597 Victoria Crossing,Dayton,OH,45449
105,888 Division Terrace,Dayton,OH,45424
106,2607 North Plaza,Dayton,,45449
107,930 Summer Ridge Junction,Dayton,OH,45449
108,3 Rieder Parkway,Dayton,OH,45403
109,0 Knutson Lane,Dayton,OH,45432
110,3 Sullivan Way,Dayton,OH,45432
111,183 Muir Crossing,Dayton,OH,45434
112,1 Longview Trail,Dayton,OH,45402
113,19 Longview Terrace,,OH,45415
114,081 Pepper Wood Lane,Dayton,OH,45410
115,968 Pine View Center,Dayton,OH,45410
116,940 Comanche Avenue,Dayton,OH,
117,881 Buell Pass,Dayton,OH,45405
118,365 Ridge Oak Park,Dayton,OH,45404
119,897 South Way,Dayton,OH,45410
120,4 Twin Pines Way,Dayton,OH,45430
121,3039 Stone Corner Place,Dayton,OH,45390
122,92 Dryden Point,Dayton,OH,45390
123,15114 Birchwood Avenue,Dayton,OH,45420
124,18841 Gale Alley,Dayton,OH,45416
125,06349 Kingsford Alley,Dayton,OH,45390
126,58683 John Wall Plaza,Dayton,OH,45414
127,11 Warrior Hill,Dayton,OH,45440
128,28 Fulton Crossing,Dayton,OH,45417
129,735 Moulton Way,Dayton,OH,45403
130,550 Blue Bill Park Center,Dayton,OH,45415
131,408 Shelley Park,Dayton,OH,45417
132,5304 Forest Dale Avenue,Dayton,OH,45479
133,14786 Bunting Trail,Dayton,OH,45458
134,55 Tomscot Way,Dayton,OH,45406
135,029 Barby Place,Dayton,OH,45405
136,508 Corry Court,Dayton,OH,45406
137,9 Gerald Place,Dayton,OH,45416
138,95 Elmside Circle,Dayton,OH,45459
139,7560 Schiller Junction,Dayton,OH,45430
140,3 Forest Dale Place,Dayton,OH,45440
141,047 Cody Alley,Dayton,OH,45390
142,13 Lakeland Lane,Dayton,OH,45415
143,86761 Eagan Point,Dayton,OH,45414
144,536 Amoth Court,Dayton,OH,45440
145,80 Melody Avenue,Dayton,OH,45404
146,27 Wayridge Center,Dayton,OH,45390
147,5 Parkside Hill,Dayton,OH,
148,23937 Dennis Drive,Dayton,OH,45434
149,1733 Hovde Way,Dayton,OH,45410
150,9081 Lyons Center,Dayton,OH,45433
151,3002 Holy Cross Place,Dayton,OH,45390
152,18850 Southridge Circle,Dayton,OH,45403
153,55746 Sullivan Junction,Dayton,OH,
154,28198 Gulseth Avenue,Dayton,OH,45434
155,018 Esker Place,Dayton,OH,
156,71 Old Shore Way,Dayton,OH,45458
157,6 Westerfield Terrace,Dayton,OH,45423
158,400 Butterfield Parkway,Dayton,OH,45459
159,7191 Bluejay Street,Dayton,OH,45439
160,50 Summer Ridge Parkway,Dayton,OH,45423
161,85311 Little Fleur Plaza,Dayton,OH,45433
162,382 Nevada Place,Dayton,OH,45431
163,76 Dexter Point,Dayton,OH,45404
164,20481 Barby Drive,Dayton,OH,45433
165,31 Scott Park,Dayton,OH,
166,76296 Scoville Place,Dayton,OH,45434
167,78 West Alley,Dayton,OH,45429
168,187 Prentice Hill,Dayton,OH,
169,34 Arkansas Parkway,Dayton,OH,45390
170,38340 Lawn Point,Dayton,OH,45430
171,2965 Ludington Point,Dayton,OH,45431
172,5 Meadow Ridge Plaza,Dayton,OH,45432
173,46 Service Parkway,Dayton,OH,45403
174,543 Thackeray Terrace,Dayton,OH,45431
175,2 High Crossing Way,Dayton,OH,45419
176,7 Waywood Point,Dayton,OH,45404
177,43393 Bluestem Point,Dayton,OH,45419
178,9 Emmet Way,Dayton,OH,45403
179,8355 Anthes Crossing,Dayton,OH,45417
180,01 Carberry Parkway,Dayton,OH,45430
181,04418 Londonderry Drive,Dayton,OH,45406
182,221 Huxley Lane,Dayton,OH,45449
183,85 Mallard Plaza,Dayton,OH,45417
184,67221 Lerdahl Hill,Dayton,OH,45416
185,574 Rusk Hill,Dayton,OH,45423
186,67 Carberry Circle,Dayton,OH,45423
187,1 Monument Circle,Dayton,OH,45404
188,606 Schurz Crossing,Dayton,OH,45430
189,01 Erie Court,Dayton,OH,45405
190,37935 Dottie Point,,OH,45415
191,28421 Northview Plaza,Dayton,OH,45459
192,120 Amoth Junction,Dayton,OH,45410
193,54389 Ruskin Court,Dayton,OH,45402
194,07416 Sherman Avenue,Dayton,OH,
195,539 Buena Vista Drive,Dayton,OH,45426
196,133 Lawn Circle,Dayton,OH,45459
197,572 Heath Avenue,Dayton,,45430
198,12477 Moulton Road,,OH,45402
199,6 Nobel Way,Dayton,OH,45426
200,85649 Helena Place,Dayton,OH,45423
201,4811 Dwight Junction,Dayton,OH,45440
202,837 Lighthouse Bay Avenue,Dayton,OH,45404
203,3 Huxley Street,Dayton,OH,45431
204,7097 Memorial Trail,Dayton,OH,45426
205,9868 Doe Crossing Junction,Dayton,OH,45433
206,805 7th Parkway,Dayton,OH,45419
207,111 Merchant Parkway,Dayton,OH,45405
208,3 Schmedeman Way,Dayton,OH,45416
209,862 Forest Run Court,Dayton,OH,45459
210,0898 Blue Bill Park Road,Dayton,OH,45406
211,124 Duke Junction,Dayton,OH,45406
212,68895 Schlimgen Court,Dayton,OH,45426
213,30 Myrtle Pass,Dayton,OH,45423
214,6273 Bluejay Point,Dayton,OH,45424
215,06730 Steensland Junction,Dayton,OH,45439
216,522 Golf View Crossing,,,45416
217,94 Farmco Terrace,Dayton,OH,45434
218,50156 Bartelt Park,Dayton,OH,45409
219,39700 4th Drive,Dayton,OH,45429
220,40628 Linden Point,Dayton,OH,45406
221,75776 Maywood Road,Dayton,OH,45459
222,3612 Donald Hill,Dayton,OH,45433
223,65 Fulton Road,Dayton,OH,45426
224,4 Dryden Crossing,Dayton,OH,45406
225,9530 Merry Plaza,Dayton,OH,
226,03 Maryland Avenue,Dayton,OH,45406
227,6 Del Sol Plaza,Dayton,OH,45419
228,6829 Pleasure Point,Dayton,OH,45414
229,3809 Eliot Court,Dayton,OH,45459
230,60 Anzinger Way,Dayton,OH,45417
231,25 Miller Center,Dayton,,45431
232,57698 Lakeland Circle,Dayton,OH,45439
233,491 Summit Street,Dayton,OH,45402
234,835 Jay Terrace,Dayton,OH,45434
235,3 Alpine Way,Dayton,OH,45458
236,263 Meadow Vale Place,Dayton,OH,45434
237,8004 Caliangt Trail,Dayton,OH,45403
238,795 Dunning Trail,Dayton,OH,45431
239,89 Chive Crossing,Dayton,OH,45420
240,30 Pepper Wood Alley,Dayton,OH,45405
241,5 Pleasure Way,,OH,45458
242,3 Fair Oaks Parkway,Dayton,OH,45424
243,44828 Meadow Valley Circle,Dayton,OH,45416
244,84 Kennedy Avenue,Dayton,OH,45416
245,557 Helena Crossing,Dayton,OH,45410
246,89 Gulseth Terrace,Dayton,OH,45440
247,2 Vera Pass,Dayton,OH,45403
248,69 Stang Court,Dayton,OH,45430
249,8321 Tony Terrace,Dayton,OH,45410
250,463 Anhalt Pass,Dayton,OH,45423
