id,street,city,state,zip
1,72 Fisk Alley,Dayton,OH,45430
2,28342 Lien Drive,Dayton,OH,45414
3,192 Bashford Junction,Dayton,OH,45423
4,065 Lindbergh Pass,Dayton,OH,45420
5,37963 Dennis Circle,Dayton,OH,45433
6,78 Vermont Way,Dayton,OH,45420
7,30 Forest Dale Junction,Dayton,OH,45479
8,5 Roxbury Junction,Dayton,OH,45416
9,87368 Mariners Cove Lane,Dayton,OH,45429
10,6 Dottie Terrace,Dayton,OH,45440
11,539 Pearson Plaza,Dayton,OH,45416
12,279 Golden Leaf Terrace,Dayton,OH,45459
13,695 Londonderry Road,Dayton,OH,45440
14,8 Park Meadow Plaza,Dayton,OH,45417
15,6 Aberg Alley,Dayton,OH,45419
16,7 Burning Wood Way,Dayton,OH,45440
17,69 Schiller Park,Dayton,OH,45414
18,6 Bayside Center,Dayton,OH,45410
19,7575 David Road,Dayton,OH,45417
20,66 Kipling Terrace,Dayton,OH,45390
21,61742 Becker Pass,Dayton,OH,45431
22,55 Mcbride Way,Dayton,OH,45390
23,698 Utah Alley,Dayton,OH,45406
24,7 Morningstar Way,Dayton,OH,45414
25,33 Montana Pass,Dayton,OH,45390
26,34773 Ludington Way,Dayton,OH,45420
27,8 Northfield Way,Dayton,OH,45414
28,9967 Northport Circle,Dayton,OH,45419
29,23600 Memorial Hill,Dayton,OH,45405
30,33856 Independence Road,Dayton,OH,45402
31,0 Maywood Plaza,Dayton,OH,45434
32,840 Mallard Way,Dayton,OH,45424
33,888 Pawling Alley,Dayton,OH,45417
34,5 Park Meadow Trail,Dayton,OH,45433
35,974 Sheridan Park,Dayton,OH,45431
36,50 Hazelcrest Point,Dayton,OH,45403
37,9946 Raven Road,Dayton,OH,45416
38,8956 Moulton Alley,Dayton,OH,45431
39,8028 Fieldstone Crossing,Dayton,OH,45430
40,3993 Jenna Terrace,Dayton,OH,45431
41,21 Jay Drive,Dayton,OH,45430
42,3 Hansons Hill,Dayton,OH,45409
43,588 Twin Pines Center,Dayton,OH,45423
44,771 Oneill Terrace,Dayton,OH,45424
45,26287 Miller Park,Dayton,OH,45479
46,00040 Maple Court,Dayton,OH,45390
47,119 Chive Circle,Dayton,OH,45458
48,145 Kennedy Crossing,Dayton,OH,45402
49,5503 Buena Vista Street,Dayton,OH,45426
50,004 Lukken Way,Dayton,OH,45424
51,283 Heath Pass,Dayton,OH,45433
52,00 Aberg Way,Dayton,OH,45390
53,1913 Northport Lane,Dayton,OH,45433
54,4070 Bashford Circle,Dayton,OH,45429
55,01033 Blaine Way,Dayton,OH,45406
56,89 Stuart Circle,Dayton,OH,45432
57,7442 Maryland Pass,Dayton,OH,45417
58,15 Utah Avenue,Dayton,OH,45432
59,84 Oakridge Court,Dayton,OH,45417
60,4837 Luster Terrace,Dayton,OH,45402
61,23 Manitowish Parkway,Dayton,OH,45417
62,65598 Sunbrook Crossing,Dayton,OH,45403
63,91065 Milwaukee Road,Dayton,OH,45423
64,8 Porter Avenue,Dayton,OH,45479
65,15034 Burrows Pass,Dayton,OH,45420
66,5836 Monica Trail,Dayton,OH,45406
67,30947 Lunder Street,Dayton,OH,45430
68,069 Burrows Center,Dayton,OH,45449
69,35 Straubel Crossing,Dayton,OH,45449
70,51538 Starling Circle,Dayton,OH,45439
71,8637 Carpenter Avenue,Dayton,OH,45430
72,181 Granby Center,Dayton,OH,45431
73,203 Anhalt Pass,Dayton,OH,45449
74,8629 Manley Court,Dayton,OH,45424
75,3 Superior Park,Dayton,OH,45431
76,48 West Court,Dayton,OH,45404
77,80775 Ryan Junction,Dayton,OH,45479
78,5 Havey Crossing,Dayton,OH,45429
79,06183 Dakota Alley,Dayton,OH,45414
80,89481 Sommers Way,Dayton,OH,45423
81,5 Alpine Circle,Dayton,OH,45479
82,926 Dovetail Plaza,Dayton,OH,45402
83,497 Dexter Drive,Dayton,OH,45440
84,90448 Kedzie Lane,Dayton,OH,45433
85,26999 Messerschmidt Lane,Dayton,OH,45414
86,317 Goodland Court,Dayton,OH,45404
87,9614 Maple Wood Terrace,Dayton,OH,45410
88,9562 Marquette Trail,Dayton,OH,45459
89,15541 Kim Parkway,Dayton,OH,45415
90,99 Morningstar Junction,Dayton,OH,45426
91,18 Grover Parkway,Dayton,OH,45406
92,55 Harper Court,Dayton,OH,45430
93,44692 Sunfield Junction,Dayton,OH,45416
94,95 Dwight Point,Dayton,OH,45415
95,6591 Fairfield Avenue,Dayton,OH,45433
96,67 Dunning Parkway,Dayton,OH,45390
97,2051 Oneill Circle,Dayton,OH,45410
98,9 Manitowish Parkway,Dayton,OH,45417
99,937 Debra Pass,Dayton,OH,45434
100,9 Gulseth Place,Dayton,OH,45423
